filename,Actual,Prediction,reason
4-BB2AA_Task2-RandomSlice_Slice2.json,Neg,1,"The participant's gaze trace shows multiple fixations on the MCDU (541 ms, 601 ms, 441 ms, 1473 ms) and PFD (130 ms, 250 ms, 331 ms), which are indicative of key instruments involved in monitoring aircraft systems and detecting abnormalities. Additionally, frequent saccades and relatively consistent pupil sizes further support the notion that the pilot is actively scanning and potentially identifying any issues."
4-BB2AA_Task1-Detected.json,Pos,1,"The gaze trace shows a high focus on ECAM and MFD (2416 ms), which suggests the pilot is checking for system information and potential abnormalities. There are also lengthy fixations on 'Others' (1432 ms) and MCDU (1482 ms), which are unusual for routine monitoring and imply specific checks that align with abnormality detection behavior. Additionally, the increasing pupil size indicates heightened cognitive load, likely due to the concentration required for identifying and understanding abnormalities."
4-AA2BB_Task2-RandomSlice_Slice1.json,Neg,1,"The gaze trace indicates frequent and rapid eye movements (saccades) interspersed with pupil dilation variations, which is consistent with heightened cognitive load and attention shifts typical of abnormality detection. Additionally, the participant's gaze encompasses various cockpit displays (PFD, ND, MCDU, etc.) and includes extended fixation periods on indices relevant to system abnormalities."
4-AA2BB_Task1-Detected.json,Pos,1,"The participant's gaze trace includes multiple instances labeled as 'ND', which stands for abnormality detection, along with frequent saccades and pupil size changes consistent with the effort involved in monitoring and identifying abnormalities."
4-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace indicates frequent switches between different instruments and the external environment, suggestive of a thorough scanning pattern that aligns with abnormality detection behavior. The participant's gaze shifts include instruments like the MCDU, FCU, ND, and several views labeled 'External' and 'Others', indicating a systematic check of both internal and external aircraft parameters. Additionally, a significant number of saccades suggest active scanning rather than passive monitoring."
4-BB2AA_Task2-RandomSlice_Slice1.json,Neg,1,"The gaze trace shows multiple fixations on MCDU, ND, ECAM and MFD, and FCU, which are critical flight instruments. This suggests the pilot is inspecting various instruments consistently which aligns with abnormality detection behavior rather than routine monitoring."
4-AA2BB_Task2-RandomSlice_Slice2.json,Neg,1,"The gaze trace includes long fixation durations (PFD and LDG) and frequent saccades, which are indicative of detailed scanning and anomaly detection rather than routine monitoring."
4-BB2AA_Task2-Detected.json,Pos,1,"The pilot's gaze focuses on multiple areas such as MCDU, ND, and FCU, with frequent saccades and a decrease in pupil size indicating cognitive load and attention shifts. These patterns are consistent with abnormality detection behavior."
4-AA2BB_Task2-Detected.json,Pos,1,"The gaze trace shows multiple instances of the pilot shifting attention between different instruments and areas, such as MCDU, ND, LDG, and PFD, interspersed with saccades. This pattern of rapid scanning across various instruments aligns with the behavior noted in abnormality detection rather than normal monitoring, which would likely involve more consistent and less erratic gazes towards primary instruments."
4-BB2AA_Task2-RandomSlice_Slice1.json,Neg,1,"The gaze trace includes several fixations on the MCDU, ND, and ECAM and MFD, which are critical displays for detecting abnormalities. Additionally, the pattern of saccades followed by fixations on these displays suggests the pilot is scanning for potential issues rather than normal monitoring."
