filename,Actual,Prediction,reason
4-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows frequent saccades and multiple fixations on different cockpit areas (FCU and External), which are indicative of active scanning and checking for irregularities. The pupil diameter variations also support this as it might show different attention levels."
18-BB2AA_Task1-Detected.json,Pos,1,"The pilot's gaze trace includes longer fixation periods categorized as 'ECAM and MFD' and an 'ND' at certain intervals alongside frequent saccades between these fixations. This pattern is indicative of focused inspection commonly associated with abnormality detection, as pilots typically scrutinize these displays closely when troubleshooting or identifying system anomalies."
2-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows a mix of normal durations (ND) and prolonged fixation durations (PFD), interspersed with frequent saccades, indicating focused attention and searching behavior typical of abnormality detection. The consistent pupil dilation also suggests heightened cognitive load."
17-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace includes 'FCU' and 'ND', which are specific instruments or displays in the cockpit. These references, along with varying pupil sizes and saccades, suggest the pilot is actively scanning for abnormalities rather than performing routine monitoring."
16-BB2AA_Task1-Detected.json,Pos,1,"The gaze trace shows multiple prolonged fixations on the 'ECAM and MFD' which are critical displays for monitoring aircraft systems and detecting abnormalities. The durations (210, 591, 160, 421) are significantly longer compared to other areas and saccades, indicating focused attention on diagnosing potential issues rather than regular monitoring."
3-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows a series of short saccades and brief periods labeled as 'Others,' interspersed with longer periods of 'ND' (No Data) and varying pupil sizes. This pattern suggests the pilot is conducting abnormality detection behaviour, as it indicates focused scanning and possibly troubleshooting or checking multiple instruments or indicators."
7-BB2AA_Task1-Detected.json,Pos,1,The pilot's attention is heavily focused on the ECAM and MFD for prolonged periods (110 + 220 + 1443 ms) which indicates a detailed checklist or system monitoring behavior typical of abnormality detection.
9-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace includes a significant amount of time in the ND (Navigation Display) with prolonged fixation (1092 ms) and shifts between various displays such as FCU, PFD, and ND. This pattern suggests focused monitoring and assessment, indicative of abnormality detection."
10-AA2BB_Task1-Detected.json,Pos,1,"The gaze trace indicates frequent saccades and pupil size fluctuations, along with distinct glances to ECAM and MFD, which suggests focused scanning behavior consistent with abnormality detection rather than routine monitoring."
7-AA2BB_Task2-Detected.json,Pos,1,"The gaze trace includes multiple instances of saccades and periods focused on PFD (Primary Flight Display) and ND (Navigation Display), which are consistent with the behavior of a pilot conducting abnormality detection who needs to quickly shift their focus to various instruments and displays for signs of issues."
1-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace includes sequences of relatively long fixations (PFD and ND) interspersed with saccades. This pattern indicates periods of detailed scanning and information collection, typical of abnormality detection tasks."
14-AA2BB_Task2-Detected.json,Pos,1,"The gaze trace indicates a high frequency of saccades and variation in pupil size, which are consistent with the intense scanning behavior associated with abnormality detection rather than typical monitoring."
18-AA2BB_Task2-Detected.json,Pos,1,"The gaze trace shows multiple saccades, which are rapid eye movements often associated with scanning the environment extensively. This, combined with the consistency in pupil dilation, suggests heightened awareness and effort in detecting irregularities or changes, indicative of abnormality detection behavior."
9-BB2AA_Task1-Detected.json,Pos,1,"The pilot's gaze trace shows a pattern of extended fixation on the ECAM and MFD displays, interspersed with brief saccades. This behavior, along with a slightly increased pupil dilation, indicates heightened attention and suggests the pilot is conducting abnormality detection rather than just normal monitoring."
11-AA2BB_Task2-Detected.json,Pos,1,The gaze trace shows prolonged periods of PFD (Primary Flight Display) viewing (140ms and 491ms) and ND (Navigation Display) viewing (1112ms). Such extended focus on these instruments suggests that the pilot is likely engaged in abnormality detection rather than just routine monitoring.
8-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows multiple saccades interspersed with PFD (Primary Flight Display) views and a noticeable ND (Navigational Display) fixation, suggesting the pilot is actively scanning and possibly investigating instruments for abnormalities rather than performing monotonous monitoring."
10-AA2BB_Task2-Detected.json,Pos,1,"The gaze trace shows frequent and rapid saccades interspersed with periods of normal fixation durations (ND), indicating the pilot is scanning the environment intensively, which is characteristic of abnormality detection."
